type;dwt;year;country;date;price
1;169234;2010;2;13.01.2014;21 000 000
3;53487;2006;3;20.01.2014;21 000 000
3;56023;2006;3;20.01.2014;22 800 000
3;57000;2010;1;20.01.2014;21 000 000
2;63500;2013;1;20.01.2014;31 000 000
2;76600;2007;3;20.01.2014;21 750 000
2;81300;2012;1;20.01.2014;26 000 000
2;81545;2013;1;20.01.2014;26 000 000
2;82000;2013;1;20.01.2014;24 000 000
2;76440;2005;3;27.01.2014;22 900 000
3;56013;2006;3;28.01.2014;22 500 000
3;50770;2009;3;04.02.2014;22 000 000
3;50779;2010;3;04.02.2014;22 000 000
3;50792;2010;3;04.02.2014;22 000 000
3;54430;2012;1;04.02.2014;25 000 000
2;76202;2012;1;04.02.2014;26 000 000
2;81487;2012;2;04.02.2014;33 000 000
2;81507;2012;2;04.02.2014;33 000 000
2;81516;2012;2;04.02.2014;33 000 000
2;82619;2006;3;04.02.2014;24 000 000
2;98681;2011;1;04.02.2014;30 000 000
2;98681;2011;1;04.02.2014;30 000 000
1;175800;2012;1;04.02.2014;46 000 000
1;179078;2011;2;04.02.2014;52 500 000
3;57005;2010;1;10.02.2014;22 400 000
2;75118;2008;1;17.02.2014;23 750 000
3;37300;2014;1;18.02.2014;22 500 000
3;37300;2014;1;18.02.2014;22 500 000
3;37300;2014;1;18.02.2014;22 500 000
3;37300;2014;1;18.02.2014;22 500 000
3;52489;2005;1;24.02.2014;21 000 000
3;53459;2005;3;24.02.2014;22 000 000
3;54958;2014;3;24.02.2014;31 000 000
3;56598;2012;1;24.02.2014;30 500 000
3;56726;2012;1;24.02.2014;30 500 000
3;56739;2012;1;24.02.2014;30 500 000
3;56750;2011;1;24.02.2014;30 500 000
3;57000;2010;1;24.02.2014;21 000 000
3;57982;2012;1;24.02.2014;29 000 000
3;57982;2010;1;24.02.2014;27 000 000
2;76295;2005;3;24.02.2014;23 000 000
3;55710;2006;3;04.03.2014;68 900 000
3;36000;2014;1;11.03.2014;23 550 000
3;36866;2011;2;11.03.2014;22 500 000
3;55380;2012;3;11.03.2014;29 500 000
2;75200;2012;1;11.03.2014;22 000 000
2;76508;2005;3;11.03.2014;22 800 000
2;81874;2014;1;17.03.2014;27 000 000
3;58000;2013;1;25.03.2014;26 400 000
3;58000;2013;1;25.03.2014;26 400 000
2;79600;2014;1;25.03.2014;25 000 000
2;81622;2012;1;25.03.2014;27 000 000
1;179078;2013;2;25.03.2014;53 000 000
3;52347;2005;3;31.03.2014;22 000 000
2;79501;2012;1;31.03.2014;23 500 000
2;79501;2012;1;31.03.2014;23 500 000
1;179109;2013;2;31.03.2014;55 000 000
2;76585;2006;3;07.04.2014;25 000 000
2;81700;2014;1;09.04.2014;35 000 000
3;57991;2011;1;14.04.2014;29 200 000
3;57991;2011;1;14.04.2014;29 200 000
2;78501;2012;1;14.04.2014;23 000 000
3;47685;2012;1;22.04.2014;17 000 000
3;55000;2010;1;22.04.2014;18 000 000
3;53621;2007;1;01.05.2014;15 200 000
3;55522;2009;3;01.05.2014;26 100 000
3;55709;2006;3;01.05.2014;22 500 000
3;56026;2006;3;01.05.2014;22 000 000
2;81383;2009;3;01.05.2014;27 500 000
2;82992;2006;3;01.05.2014;25 500 000
2;87144;2006;3;01.05.2014;22 000 000
2;82852;2012;1;20.05.2014;31 000 000
1;177216;2005;3;20.05.2014;42 000 000
3;41675;2006;4;27.05.2014;15 500 000
2;92500;2010;1;27.05.2014;22 800 000
3;50741;2013;2;02.06.2014;49 000 000
3;55700;2009;3;02.06.2014;25 500 000
2;79754;2011;1;02.06.2014;22 100 000
2;81630;2013;1;02.06.2014;27 500 000
2;82566;2014;1;02.06.2014;32 700 000
2;82566;2014;1;02.06.2014;32 700 000
2;76598;2006;3;11.06.2014;20 000 000
3;57981;2012;1;30.06.2014;24 900 000
3;58000;2012;1;30.06.2014;24 900 000
3;58018;2012;1;30.06.2014;24 900 000
1;179276;2011;2;30.06.2014;51 500 000
3;36866;2011;2;09.07.2014;20 500 000
3;50790;2009;3;09.07.2014;21 500 000
3;57000;2009;1;09.07.2014;18 100 000
3;56071;2007;3;14.07.2014;20 000 000
2;84091;2011;2;14.07.2014;25 000 000
2;87144;2006;3;14.07.2014;21 900 000
3;37000;2011;2;22.07.2014;17 800 000
3;55679;2008;3;28.07.2014;22 700 000
3;57696;2011;1;28.07.2014;19 500 000
3;53505;2011;1;10.08.2014;16 000 000
3;53732;2012;1;10.08.2014;18 200 000
2;76440;2005;3;10.08.2014;17 700 000
3;56831;2012;1;18.08.2014;17 800 000
2;79600;2014;1;18.08.2014;22 500 000
2;82936;2005;3;18.08.2014;17 700 000
3;52454;2006;3;27.08.2014;17 800 000
2;76596;2007;3;02.09.2014;19 500 000
2;79501;2012;1;02.09.2014;20 900 000
1;176000;2014;1;02.09.2014;44 500 000
3;56582;2011;1;03.09.2014;19 600 000
3;53260;2005;1;15.09.2014;12 300 000
3;53308;2005;1;15.09.2014;13 000 000
